10	70	0.2500	0.0625	0.6875
10	60	0.2000	0.0909	0.7091
10	50	0.1639	0.1148	0.7213
10	40	0.1304	0.1594	0.7101
10	30	0.0946	0.1892	0.7162
20	80	0.4419	0.0698	0.4884
20	70	0.3469	0.1020	0.5510
20	60	0.2909	0.1273	0.5818
20	50	0.2333	0.1667	0.6000
20	40	0.1692	0.2154	0.6154
20	30	0.1268	0.2535	0.6197
20	20	0.0921	0.3026	0.6053
30	90	0.6591	0.0682	0.2727
30	80	0.5745	0.0851	0.3404
30	70	0.4706	0.1176	0.4118
30	60	0.3818	0.1636	0.4545
30	50	0.2931	0.2241	0.4828
30	40	0.2258	0.2742	0.5000
30	30	0.1618	0.3382	0.5000
30	20	0.1096	0.3973	0.4932
30	10	0.0759	0.4557	0.4684
40	90	0.7451	0.0588	0.1961
40	80	0.6667	0.0784	0.2549
40	70	0.5577	0.1346	0.3077
40	60	0.4630	0.1852	0.3519
40	50	0.3571	0.2679	0.3750
40	40	0.2667	0.3333	0.4000
40	30	0.1875	0.4063	0.4063
40	20	0.1268	0.4789	0.3944
40	10	0.0779	0.5584	0.3636
50	90	0.8036	0.0536	0.1429
50	80	0.7222	0.0926	0.1852
50	70	0.6226	0.1509	0.2264
50	60	0.5185	0.2222	0.2593
50	50	0.4107	0.3036	0.2857
50	40	0.3103	0.3793	0.3103
50	30	0.2063	0.4762	0.3175
50	20	0.1343	0.5672	0.2985
50	10	0.0789	0.6579	0.2632
60	90	0.8333	0.0500	0.1167
60	80	0.7500	0.1071	0.1429
60	70	0.6667	0.1667	0.1667
60	60	0.5472	0.2453	0.2075
60	50	0.4444	0.3333	0.2222
60	40	0.3158	0.4386	0.2456
60	30	0.2167	0.5333	0.2500
60	20	0.1231	0.6462	0.2308
60	10	0.0667	0.7333	0.2000
70	90	0.8387	0.0484	0.1129
70	80	0.7679	0.1071	0.1250
70	70	0.6923	0.1731	0.1346
70	60	0.5769	0.2692	0.1538
70	50	0.4615	0.3654	0.1731
70	40	0.3396	0.4717	0.1887
70	30	0.2143	0.5893	0.1964
70	20	0.1111	0.6984	0.1905
70	10	0.0548	0.7808	0.1644
80	80	0.7925	0.1132	0.0943
80	70	0.7143	0.1837	0.1020
80	60	0.5957	0.2766	0.1277
80	50	0.4681	0.3830	0.1489
80	40	0.3265	0.5102	0.1633
80	30	0.2115	0.6154	0.1731
80	20	0.1000	0.7167	0.1833
90	70	0.7273	0.2045	0.0682
90	60	0.5952	0.3095	0.0952
90	50	0.4524	0.4286	0.1190
90	40	0.3095	0.5476	0.1429
90	30	0.1739	0.6522	0.1739
